,,home_goals,home_goals,home_goals,away_goals,away_goals,away_goals
,,sum,mean,size,sum,mean,size
home_team,away_team,,,,,,
AFCBournemouth,Arsenal,1,1,1,2,2,1
AFCBournemouth,BrightonandHoveAlbion,2,2,1,0,0,1
AFCBournemouth,Burnley,1,1,1,3,3,1
AFCBournemouth,CardiffCity,2,2,1,0,0,1
AFCBournemouth,Chelsea,4,4,1,0,0,1
AFCBournemouth,CrystalPalace,2,2,1,1,1,1
AFCBournemouth,Everton,2,2,1,2,2,1
AFCBournemouth,Fulham,0,0,1,1,1,1
AFCBournemouth,HuddersfieldTownAFC,2,2,1,1,1,1
AFCBournemouth,LeicesterCity,4,4,1,2,2,1
AFCBournemouth,Liverpool,0,0,1,4,4,1
AFCBournemouth,ManchesterCity,0,0,1,1,1,1
AFCBournemouth,ManchesterUnited,1,1,1,2,2,1
AFCBournemouth,NewcastleUnited,2,2,1,2,2,1
AFCBournemouth,Southampton,0,0,1,0,0,1
AFCBournemouth,TottenhamHotspur,1,1,1,0,0,1
AFCBournemouth,Watford,3,3,1,3,3,1
AFCBournemouth,WestHamUnited,2,2,1,0,0,1
AFCBournemouth,WolverhamptonWanderers,1,1,1,1,1,1
Arsenal,AFCBournemouth,5,5,1,1,1,1
Arsenal,BrightonandHoveAlbion,1,1,1,1,1,1
Arsenal,Burnley,3,3,1,1,1,1
Arsenal,CardiffCity,2,2,1,1,1,1
Arsenal,Chelsea,2,2,1,0,0,1
Arsenal,CrystalPalace,2,2,1,3,3,1
Arsenal,Everton,2,2,1,0,0,1
Arsenal,Fulham,4,4,1,1,1,1
Arsenal,HuddersfieldTownAFC,1,1,1,0,0,1
Arsenal,LeicesterCity,3,3,1,1,1,1
Arsenal,Liverpool,1,1,1,1,1,1
Arsenal,ManchesterCity,0,0,1,2,2,1
Arsenal,ManchesterUnited,2,2,1,0,0,1
Arsenal,NewcastleUnited,2,2,1,0,0,1
Arsenal,Southampton,2,2,1,0,0,1
Arsenal,TottenhamHotspur,4,4,1,2,2,1
Arsenal,Watford,2,2,1,0,0,1
Arsenal,WestHamUnited,3,3,1,1,1,1
Arsenal,WolverhamptonWanderers,1,1,1,1,1,1
BrightonandHoveAlbion,AFCBournemouth,0,0,1,5,5,1
BrightonandHoveAlbion,Arsenal,1,1,1,1,1,1
BrightonandHoveAlbion,Burnley,1,1,1,3,3,1
BrightonandHoveAlbion,CardiffCity,0,0,1,2,2,1
BrightonandHoveAlbion,Chelsea,1,1,1,2,2,1
BrightonandHoveAlbion,CrystalPalace,3,3,1,1,1,1
BrightonandHoveAlbion,Everton,1,1,1,0,0,1
BrightonandHoveAlbion,Fulham,2,2,1,2,2,1
BrightonandHoveAlbion,HuddersfieldTownAFC,1,1,1,0,0,1
BrightonandHoveAlbion,LeicesterCity,1,1,1,1,1,1
BrightonandHoveAlbion,Liverpool,0,0,1,1,1,1
BrightonandHoveAlbion,ManchesterCity,1,1,1,4,4,1
BrightonandHoveAlbion,ManchesterUnited,3,3,1,2,2,1
BrightonandHoveAlbion,NewcastleUnited,1,1,1,1,1,1
BrightonandHoveAlbion,Southampton,0,0,1,1,1,1
BrightonandHoveAlbion,TottenhamHotspur,1,1,1,2,2,1
BrightonandHoveAlbion,Watford,0,0,1,0,0,1
BrightonandHoveAlbion,WestHamUnited,1,1,1,0,0,1
BrightonandHoveAlbion,WolverhamptonWanderers,1,1,1,0,0,1
Burnley,AFCBournemouth,4,4,1,0,0,1
Burnley,Arsenal,1,1,1,3,3,1
Burnley,BrightonandHoveAlbion,1,1,1,0,0,1
Burnley,CardiffCity,2,2,1,0,0,1
Burnley,Chelsea,0,0,1,4,4,1
Burnley,CrystalPalace,1,1,1,3,3,1
Burnley,Everton,1,1,1,5,5,1
Burnley,Fulham,2,2,1,1,1,1
Burnley,HuddersfieldTownAFC,1,1,1,1,1,1
Burnley,LeicesterCity,1,1,1,2,2,1
Burnley,Liverpool,1,1,1,3,3,1
Burnley,ManchesterCity,0,0,1,1,1,1
Burnley,ManchesterUnited,0,0,1,2,2,1
Burnley,NewcastleUnited,1,1,1,2,2,1
Burnley,Southampton,1,1,1,1,1,1
Burnley,TottenhamHotspur,2,2,1,1,1,1
Burnley,Watford,1,1,1,3,3,1
Burnley,WestHamUnited,2,2,1,0,0,1
Burnley,WolverhamptonWanderers,2,2,1,0,0,1
CardiffCity,AFCBournemouth,2,2,1,0,0,1
CardiffCity,Arsenal,2,2,1,3,3,1
CardiffCity,BrightonandHoveAlbion,2,2,1,1,1,1
CardiffCity,Burnley,1,1,1,2,2,1
CardiffCity,Chelsea,2,2,1,0,0,1
CardiffCity,CrystalPalace,2,2,1,3,3,1
CardiffCity,Everton,0,0,1,3,3,1
CardiffCity,Fulham,4,4,1,2,2,1
CardiffCity,HuddersfieldTownAFC,0,0,1,0,0,1
CardiffCity,LeicesterCity,0,0,1,1,1,1
CardiffCity,Liverpool,0,0,1,2,2,1
CardiffCity,ManchesterCity,0,0,1,5,5,1
CardiffCity,ManchesterUnited,1,1,1,5,5,1
CardiffCity,NewcastleUnited,0,0,1,0,0,1
CardiffCity,Southampton,1,1,1,0,0,1
CardiffCity,TottenhamHotspur,0,0,1,3,3,1
CardiffCity,Watford,1,1,1,5,5,1
CardiffCity,WestHamUnited,2,2,1,0,0,1
CardiffCity,WolverhamptonWanderers,2,2,1,1,1,1
Chelsea,AFCBournemouth,2,2,1,0,0,1
Chelsea,Arsenal,3,3,1,2,2,1
Chelsea,BrightonandHoveAlbion,3,3,1,0,0,1
Chelsea,Burnley,2,2,1,2,2,1
Chelsea,CardiffCity,4,4,1,1,1,1
Chelsea,CrystalPalace,3,3,1,1,1,1
Chelsea,Everton,0,0,1,0,0,1
Chelsea,Fulham,2,2,1,0,0,1
Chelsea,HuddersfieldTownAFC,5,5,1,0,0,1
Chelsea,LeicesterCity,0,0,1,1,1,1
Chelsea,Liverpool,1,1,1,1,1,1
Chelsea,ManchesterCity,2,2,1,0,0,1
Chelsea,ManchesterUnited,2,2,1,2,2,1
Chelsea,NewcastleUnited,2,2,1,1,1,1
Chelsea,Southampton,0,0,1,0,0,1
Chelsea,TottenhamHotspur,2,2,1,0,0,1
Chelsea,Watford,3,3,1,0,0,1
Chelsea,WestHamUnited,2,2,1,0,0,1
Chelsea,WolverhamptonWanderers,1,1,1,1,1,1
CrystalPalace,AFCBournemouth,5,5,1,3,3,1
CrystalPalace,Arsenal,2,2,1,2,2,1
CrystalPalace,BrightonandHoveAlbion,1,1,1,2,2,1
CrystalPalace,Burnley,2,2,1,0,0,1
CrystalPalace,CardiffCity,0,0,1,0,0,1
CrystalPalace,Chelsea,0,0,1,1,1,1
CrystalPalace,Everton,0,0,1,0,0,1
CrystalPalace,Fulham,2,2,1,0,0,1
CrystalPalace,HuddersfieldTownAFC,1,1,1,2,2,1
CrystalPalace,LeicesterCity,1,1,1,0,0,1
CrystalPalace,Liverpool,0,0,1,2,2,1
CrystalPalace,ManchesterCity,1,1,1,3,3,1
CrystalPalace,ManchesterUnited,1,1,1,3,3,1
CrystalPalace,NewcastleUnited,0,0,1,0,0,1
CrystalPalace,Southampton,0,0,1,2,2,1
CrystalPalace,TottenhamHotspur,0,0,1,1,1,1
CrystalPalace,Watford,1,1,1,2,2,1
CrystalPalace,WestHamUnited,1,1,1,1,1,1
CrystalPalace,WolverhamptonWanderers,0,0,1,1,1,1
Everton,AFCBournemouth,2,2,1,0,0,1
Everton,Arsenal,1,1,1,0,0,1
Everton,BrightonandHoveAlbion,3,3,1,1,1,1
Everton,Burnley,2,2,1,0,0,1
Everton,CardiffCity,1,1,1,0,0,1
Everton,Chelsea,2,2,1,0,0,1
Everton,CrystalPalace,2,2,1,0,0,1
Everton,Fulham,3,3,1,0,0,1
Everton,HuddersfieldTownAFC,1,1,1,1,1,1
Everton,LeicesterCity,0,0,1,1,1,1
Everton,Liverpool,0,0,1,0,0,1
Everton,ManchesterCity,0,0,1,2,2,1
Everton,ManchesterUnited,4,4,1,0,0,1
Everton,NewcastleUnited,1,1,1,1,1,1
Everton,Southampton,2,2,1,1,1,1
Everton,TottenhamHotspur,2,2,1,6,6,1
Everton,Watford,2,2,1,2,2,1
Everton,WestHamUnited,1,1,1,3,3,1
Everton,WolverhamptonWanderers,1,1,1,3,3,1
Fulham,AFCBournemouth,0,0,1,3,3,1
Fulham,Arsenal,1,1,1,5,5,1
Fulham,BrightonandHoveAlbion,4,4,1,2,2,1
Fulham,Burnley,4,4,1,2,2,1
Fulham,CardiffCity,1,1,1,0,0,1
Fulham,Chelsea,1,1,1,2,2,1
Fulham,CrystalPalace,0,0,1,2,2,1
Fulham,Everton,2,2,1,0,0,1
Fulham,HuddersfieldTownAFC,1,1,1,0,0,1
Fulham,LeicesterCity,1,1,1,1,1,1
Fulham,Liverpool,1,1,1,2,2,1
Fulham,ManchesterCity,0,0,1,1,1,1
Fulham,ManchesterUnited,0,0,1,3,3,1
Fulham,NewcastleUnited,0,0,1,4,4,1
Fulham,Southampton,3,3,1,2,2,1
Fulham,TottenhamHotspur,1,1,1,2,2,1
Fulham,Watford,1,1,1,1,1,1
Fulham,WestHamUnited,0,0,1,2,2,1
Fulham,WolverhamptonWanderers,1,1,1,1,1,1
HuddersfieldTownAFC,AFCBournemouth,0,0,1,2,2,1
HuddersfieldTownAFC,Arsenal,1,1,1,2,2,1
HuddersfieldTownAFC,BrightonandHoveAlbion,1,1,1,2,2,1
HuddersfieldTownAFC,Burnley,1,1,1,2,2,1
HuddersfieldTownAFC,CardiffCity,0,0,1,0,0,1
HuddersfieldTownAFC,Chelsea,0,0,1,3,3,1
HuddersfieldTownAFC,CrystalPalace,0,0,1,1,1,1
HuddersfieldTownAFC,Everton,0,0,1,1,1,1
HuddersfieldTownAFC,Fulham,1,1,1,0,0,1
HuddersfieldTownAFC,LeicesterCity,1,1,1,4,4,1
HuddersfieldTownAFC,Liverpool,0,0,1,1,1,1
HuddersfieldTownAFC,ManchesterCity,0,0,1,3,3,1
HuddersfieldTownAFC,ManchesterUnited,1,1,1,1,1,1
HuddersfieldTownAFC,NewcastleUnited,0,0,1,1,1,1
HuddersfieldTownAFC,Southampton,1,1,1,3,3,1
HuddersfieldTownAFC,TottenhamHotspur,0,0,1,2,2,1
HuddersfieldTownAFC,Watford,1,1,1,2,2,1
HuddersfieldTownAFC,WestHamUnited,1,1,1,1,1,1
HuddersfieldTownAFC,WolverhamptonWanderers,1,1,1,0,0,1
LeicesterCity,AFCBournemouth,2,2,1,0,0,1
LeicesterCity,Arsenal,3,3,1,0,0,1
LeicesterCity,BrightonandHoveAlbion,2,2,1,1,1,1
LeicesterCity,Burnley,0,0,1,0,0,1
LeicesterCity,CardiffCity,0,0,1,1,1,1
LeicesterCity,Chelsea,0,0,1,0,0,1
LeicesterCity,CrystalPalace,1,1,1,4,4,1
LeicesterCity,Everton,1,1,1,2,2,1
LeicesterCity,Fulham,3,3,1,1,1,1
LeicesterCity,HuddersfieldTownAFC,3,3,1,1,1,1
LeicesterCity,Liverpool,1,1,1,2,2,1
LeicesterCity,ManchesterCity,2,2,1,1,1,1
LeicesterCity,ManchesterUnited,0,0,1,1,1,1
LeicesterCity,NewcastleUnited,0,0,1,1,1,1
LeicesterCity,Southampton,1,1,1,2,2,1
LeicesterCity,TottenhamHotspur,0,0,1,2,2,1
LeicesterCity,Watford,2,2,1,0,0,1
LeicesterCity,WestHamUnited,1,1,1,1,1,1
LeicesterCity,WolverhamptonWanderers,2,2,1,0,0,1
Liverpool,AFCBournemouth,3,3,1,0,0,1
Liverpool,Arsenal,5,5,1,1,1,1
Liverpool,BrightonandHoveAlbion,1,1,1,0,0,1
Liverpool,Burnley,4,4,1,2,2,1
Liverpool,CardiffCity,4,4,1,1,1,1
Liverpool,Chelsea,2,2,1,0,0,1
Liverpool,CrystalPalace,4,4,1,3,3,1
Liverpool,Everton,1,1,1,0,0,1
Liverpool,Fulham,2,2,1,0,0,1
Liverpool,HuddersfieldTownAFC,5,5,1,0,0,1
Liverpool,LeicesterCity,1,1,1,1,1,1
Liverpool,ManchesterCity,0,0,1,0,0,1
Liverpool,ManchesterUnited,3,3,1,1,1,1
Liverpool,NewcastleUnited,4,4,1,0,0,1
Liverpool,Southampton,3,3,1,0,0,1
Liverpool,TottenhamHotspur,2,2,1,1,1,1
Liverpool,Watford,5,5,1,0,0,1
Liverpool,WestHamUnited,4,4,1,0,0,1
Liverpool,WolverhamptonWanderers,2,2,1,0,0,1
ManchesterCity,AFCBournemouth,3,3,1,1,1,1
ManchesterCity,Arsenal,3,3,1,1,1,1
ManchesterCity,BrightonandHoveAlbion,2,2,1,0,0,1
ManchesterCity,Burnley,5,5,1,0,0,1
ManchesterCity,CardiffCity,2,2,1,0,0,1
ManchesterCity,Chelsea,6,6,1,0,0,1
ManchesterCity,CrystalPalace,2,2,1,3,3,1
ManchesterCity,Everton,3,3,1,1,1,1
ManchesterCity,Fulham,3,3,1,0,0,1
ManchesterCity,HuddersfieldTownAFC,6,6,1,1,1,1
ManchesterCity,LeicesterCity,1,1,1,0,0,1
ManchesterCity,Liverpool,2,2,1,1,1,1
ManchesterCity,ManchesterUnited,3,3,1,1,1,1
ManchesterCity,NewcastleUnited,2,2,1,1,1,1
ManchesterCity,Southampton,6,6,1,1,1,1
ManchesterCity,TottenhamHotspur,1,1,1,0,0,1
ManchesterCity,Watford,3,3,1,1,1,1
ManchesterCity,WestHamUnited,1,1,1,0,0,1
ManchesterCity,WolverhamptonWanderers,3,3,1,0,0,1
ManchesterUnited,AFCBournemouth,4,4,1,1,1,1
ManchesterUnited,Arsenal,2,2,1,2,2,1
ManchesterUnited,BrightonandHoveAlbion,2,2,1,1,1,1
ManchesterUnited,Burnley,2,2,1,2,2,1
ManchesterUnited,CardiffCity,0,0,1,2,2,1
ManchesterUnited,Chelsea,1,1,1,1,1,1
ManchesterUnited,CrystalPalace,0,0,1,0,0,1
ManchesterUnited,Everton,2,2,1,1,1,1
ManchesterUnited,Fulham,4,4,1,1,1,1
ManchesterUnited,HuddersfieldTownAFC,3,3,1,1,1,1
ManchesterUnited,LeicesterCity,2,2,1,1,1,1
ManchesterUnited,Liverpool,0,0,1,0,0,1
ManchesterUnited,ManchesterCity,0,0,1,2,2,1
ManchesterUnited,NewcastleUnited,3,3,1,2,2,1
ManchesterUnited,Southampton,3,3,1,2,2,1
ManchesterUnited,TottenhamHotspur,0,0,1,3,3,1
ManchesterUnited,Watford,2,2,1,0,0,1
ManchesterUnited,WestHamUnited,2,2,1,1,1,1
ManchesterUnited,WolverhamptonWanderers,1,1,1,1,1,1
NewcastleUnited,AFCBournemouth,2,2,1,1,1,1
NewcastleUnited,Arsenal,1,1,1,2,2,1
NewcastleUnited,BrightonandHoveAlbion,0,0,1,1,1,1
NewcastleUnited,Burnley,2,2,1,0,0,1
NewcastleUnited,CardiffCity,3,3,1,0,0,1
NewcastleUnited,Chelsea,1,1,1,2,2,1
NewcastleUnited,CrystalPalace,0,0,1,1,1,1
NewcastleUnited,Everton,3,3,1,2,2,1
NewcastleUnited,Fulham,0,0,1,0,0,1
NewcastleUnited,HuddersfieldTownAFC,2,2,1,0,0,1
NewcastleUnited,LeicesterCity,0,0,1,2,2,1
NewcastleUnited,Liverpool,2,2,1,3,3,1
NewcastleUnited,ManchesterCity,2,2,1,1,1,1
NewcastleUnited,ManchesterUnited,0,0,1,2,2,1
NewcastleUnited,Southampton,3,3,1,1,1,1
NewcastleUnited,TottenhamHotspur,1,1,1,2,2,1
NewcastleUnited,Watford,1,1,1,0,0,1
NewcastleUnited,WestHamUnited,0,0,1,3,3,1
NewcastleUnited,WolverhamptonWanderers,1,1,1,2,2,1
Southampton,AFCBournemouth,3,3,1,3,3,1
Southampton,Arsenal,3,3,1,2,2,1
Southampton,BrightonandHoveAlbion,2,2,1,2,2,1
Southampton,Burnley,0,0,1,0,0,1
Southampton,CardiffCity,1,1,1,2,2,1
Southampton,Chelsea,0,0,1,3,3,1
Southampton,CrystalPalace,1,1,1,1,1,1
Southampton,Everton,2,2,1,1,1,1
Southampton,Fulham,2,2,1,0,0,1
Southampton,HuddersfieldTownAFC,1,1,1,1,1,1
Southampton,LeicesterCity,1,1,1,2,2,1
Southampton,Liverpool,1,1,1,3,3,1
Southampton,ManchesterCity,1,1,1,3,3,1
Southampton,ManchesterUnited,2,2,1,2,2,1
Southampton,NewcastleUnited,0,0,1,0,0,1
Southampton,TottenhamHotspur,2,2,1,1,1,1
Southampton,Watford,1,1,1,1,1,1
Southampton,WestHamUnited,1,1,1,2,2,1
Southampton,WolverhamptonWanderers,3,3,1,1,1,1
TottenhamHotspur,AFCBournemouth,5,5,1,0,0,1
TottenhamHotspur,Arsenal,1,1,1,1,1,1
TottenhamHotspur,BrightonandHoveAlbion,1,1,1,0,0,1
TottenhamHotspur,Burnley,1,1,1,0,0,1
TottenhamHotspur,CardiffCity,1,1,1,0,0,1
TottenhamHotspur,Chelsea,3,3,1,1,1,1
TottenhamHotspur,CrystalPalace,2,2,1,0,0,1
TottenhamHotspur,Everton,2,2,1,2,2,1
TottenhamHotspur,Fulham,3,3,1,1,1,1
TottenhamHotspur,HuddersfieldTownAFC,4,4,1,0,0,1
TottenhamHotspur,LeicesterCity,3,3,1,1,1,1
TottenhamHotspur,Liverpool,1,1,1,2,2,1
TottenhamHotspur,ManchesterCity,0,0,1,1,1,1
TottenhamHotspur,ManchesterUnited,0,0,1,1,1,1
TottenhamHotspur,NewcastleUnited,1,1,1,0,0,1
TottenhamHotspur,Southampton,3,3,1,1,1,1
TottenhamHotspur,Watford,2,2,1,1,1,1
TottenhamHotspur,WestHamUnited,0,0,1,1,1,1
TottenhamHotspur,WolverhamptonWanderers,1,1,1,3,3,1
Watford,AFCBournemouth,0,0,1,4,4,1
Watford,Arsenal,0,0,1,1,1,1
Watford,BrightonandHoveAlbion,2,2,1,0,0,1
Watford,Burnley,0,0,1,0,0,1
Watford,CardiffCity,3,3,1,2,2,1
Watford,Chelsea,1,1,1,2,2,1
Watford,CrystalPalace,2,2,1,1,1,1
Watford,Everton,1,1,1,0,0,1
Watford,Fulham,4,4,1,1,1,1
Watford,HuddersfieldTownAFC,3,3,1,0,0,1
Watford,LeicesterCity,2,2,1,1,1,1
Watford,Liverpool,0,0,1,3,3,1
Watford,ManchesterCity,1,1,1,2,2,1
Watford,ManchesterUnited,1,1,1,2,2,1
Watford,NewcastleUnited,1,1,1,1,1,1
Watford,Southampton,1,1,1,1,1,1
Watford,TottenhamHotspur,2,2,1,1,1,1
Watford,WestHamUnited,1,1,1,4,4,1
Watford,WolverhamptonWanderers,1,1,1,2,2,1
WestHamUnited,AFCBournemouth,1,1,1,2,2,1
WestHamUnited,Arsenal,1,1,1,0,0,1
WestHamUnited,BrightonandHoveAlbion,2,2,1,2,2,1
WestHamUnited,Burnley,4,4,1,2,2,1
WestHamUnited,CardiffCity,3,3,1,1,1,1
WestHamUnited,Chelsea,0,0,1,0,0,1
WestHamUnited,CrystalPalace,3,3,1,2,2,1
WestHamUnited,Everton,0,0,1,2,2,1
WestHamUnited,Fulham,3,3,1,1,1,1
WestHamUnited,HuddersfieldTownAFC,4,4,1,3,3,1
WestHamUnited,LeicesterCity,2,2,1,2,2,1
WestHamUnited,Liverpool,1,1,1,1,1,1
WestHamUnited,ManchesterCity,0,0,1,4,4,1
WestHamUnited,ManchesterUnited,3,3,1,1,1,1
WestHamUnited,NewcastleUnited,2,2,1,0,0,1
WestHamUnited,Southampton,3,3,1,0,0,1
WestHamUnited,TottenhamHotspur,0,0,1,1,1,1
WestHamUnited,Watford,0,0,1,2,2,1
WestHamUnited,WolverhamptonWanderers,0,0,1,1,1,1
WolverhamptonWanderers,AFCBournemouth,2,2,1,0,0,1
WolverhamptonWanderers,Arsenal,3,3,1,1,1,1
WolverhamptonWanderers,BrightonandHoveAlbion,0,0,1,0,0,1
WolverhamptonWanderers,Burnley,1,1,1,0,0,1
WolverhamptonWanderers,CardiffCity,2,2,1,0,0,1
WolverhamptonWanderers,Chelsea,2,2,1,1,1,1
WolverhamptonWanderers,CrystalPalace,0,0,1,2,2,1
WolverhamptonWanderers,Everton,2,2,1,2,2,1
WolverhamptonWanderers,Fulham,1,1,1,0,0,1
WolverhamptonWanderers,HuddersfieldTownAFC,0,0,1,2,2,1
WolverhamptonWanderers,LeicesterCity,4,4,1,3,3,1
WolverhamptonWanderers,Liverpool,0,0,1,2,2,1
WolverhamptonWanderers,ManchesterCity,1,1,1,1,1,1
WolverhamptonWanderers,ManchesterUnited,2,2,1,1,1,1
WolverhamptonWanderers,NewcastleUnited,1,1,1,1,1,1
WolverhamptonWanderers,Southampton,2,2,1,0,0,1
WolverhamptonWanderers,TottenhamHotspur,2,2,1,3,3,1
WolverhamptonWanderers,Watford,0,0,1,2,2,1
WolverhamptonWanderers,WestHamUnited,3,3,1,0,0,1
